farm_id,state,district,village,crop,crop_variety,sowing_date,harvesting_date,season,land_area_acres,soil_type,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_used,irrigation_method,rainfall_mm,avg_temperature_c,humidity_percent,pest_attack,disease_name,pesticide_used,expected_yield_tonnes,actual_yield_tonnes,water_consumption_litres,production_cost_inr,market_price_inr,profit_loss_inr,crop_health_score,sustainability_score
FARM00029,Assam,Jorhat,Village_215,Wheat,PBW725,2022-02-04,2022-05-27,Zaid,16.32,Laterite,6.4,125,102,178,DAP,Drip,102.4,21.1,69,No,None,Neem Oil,61.32,60.12,701791.1,377142.95,222007.55,-155135.4,91,90
FARM00030,Karnataka,Mysuru,Village_44,Soybean,JS335,2022-04-27,2022-10-19,Rabi,22.83,Alluvial,6.8,96,169,64,NPK,Canal,70.6,28.5,70,No,None,Neem Oil,99.98,106.78,850784.2,762989.83,333814.45,-429175.38,63,46
FARM00031,Maharashtra,Pune,Village_172,Soybean,JS335,2021-08-08,2022-02-04,Rabi,8.75,Laterite,7.5,95,166,100,DAP,Rain-fed,56.6,26.9,72,No,None,Neem Oil,31.11,29.57,654674.6,244663.79,72204.82,-172458.97,79,64
FARM00032,Punjab,Ludhiana,Village_206,Potato,Kufri Jyoti,2021-07-13,2022-01-02,Rabi,10.85,Red,7.8,71,72,82,Organic Compost,Sprinkler,44.6,31.1,59,No,None,Neem Oil,30.53,33.17,555991.7,169984.15,131134.28,-38849.87,77,92
FARM00033,Maharashtra,Pune,Village_445,Potato,Kufri Jyoti,2021-06-29,2021-12-13,Kharif,7.56,Laterite,6.4,122,119,139,DAP,Drip,67.7,24.7,63,No,None,Neem Oil,31.66,32.82,190289.0,243172.76,88570.07,-154602.69,92,70
FARM00034,Tamil Nadu,Coimbatore,Village_448,Soybean,JS335,2022-07-12,2022-12-03,Zaid,1.39,Red,6.4,128,117,147,NPK,Flood,75.7,25.8,70,Yes,Leaf Blight,Chlorpyrifos,5.82,4.66,82031.6,21513.55,15782.44,-5731.11,22,50
FARM00035,Assam,Jorhat,Village_331,Millet,Bajra,2023-04-09,2023-09-08,Kharif,4.09,Red,7.7,72,70,148,Urea,Canal,97.1,20.8,81,Yes,Leaf Blight,Imidacloprid,15.58,12.46,275786.3,93599.14,41444.4,-52154.74,49,47
FARM00036,Tamil Nadu,Madurai,Village_256,Maize,DHM117,2020-01-31,2020-05-03,Rabi,16.02,Red,6.8,112,81,108,NPK,Flood,79.3,23.9,64,Yes,Leaf Blight,Imidacloprid,51.96,41.57,1102202.0,498686.84,134714.87,-363971.97,62,83
FARM00037,Punjab,Amritsar,Village_310,Maize,DHM117,2021-08-18,2021-11-17,Kharif,6.73,Laterite,6.3,113,74,51,Urea,Rain-fed,94.2,27.0,67,No,None,Neem Oil,26.3,25.32,313950.7,86523.09,58198.41,-28324.68,88,55
FARM00038,Punjab,Ludhiana,Village_103,Rice,Basmati,2023-11-24,2024-05-11,Rabi,5.47,Clay,5.8,61,142,51,Urea,Drip,69.7,41.9,68,Yes,Leaf Blight,Chlorpyrifos,18.27,14.62,319913.5,96973.68,36725.92,-60247.76,62,66
FARM00039,Assam,Guwahati,Village_374,Maize,DHM117,2020-03-31,2020-09-06,Rabi,15.01,Red,5.6,76,101,165,NPK,Canal,21.4,24.3,57,No,None,Neem Oil,39.31,37.77,1098759.8,428319.91,131100.29,-297219.62,90,82
FARM00040,Maharashtra,Pune,Village_171,Millet,Bajra,2022-11-21,2023-02-21,Rabi,19.64,Clay,6.5,126,58,146,NPK,Drip,111.0,30.2,72,Yes,Leaf Blight,Imidacloprid,97.13,77.7,1323901.6,360096.61,194257.34,-165839.27,58,79
FARM00041,Uttar Pradesh,Lucknow,Village_252,Sugarcane,Co0238,2020-04-19,2020-09-01,Zaid,10.75,Black,5.7,48,141,96,Vermicompost,Sprinkler,33.6,30.3,57,Yes,Leaf Blight,Chlorpyrifos,29.34,23.47,843620.4,230216.11,54605.8,-175610.31,53,64
FARM00042,Assam,Guwahati,Village_158,Potato,Kufri Pukhraj,2022-01-20,2022-06-29,Rabi,17.89,Black,6.4,91,116,40,DAP,Sprinkler,64.8,40.1,62,No,None,Neem Oil,54.28,52.8,865637.4,618367.29,104057.6,-514309.69,94,54
FARM00043,Maharashtra,Nashik,Village_61,Sugarcane,Co0238,2023-04-23,2023-09-26,Kharif,22.37,Laterite,6.9,119,52,50,NPK,Drip,20.7,25.7,54,No,None,Neem Oil,70.36,71.95,906038.7,714871.13,269726.07,-445145.06,59,54
FARM00044,Assam,Guwahati,Village_203,Wheat,HD2967,2021-06-19,2021-12-16,Rabi,18.56,Red,7.5,128,81,147,DAP,Rain-fed,95.4,30.6,65,No,None,Neem Oil,65.04,71.54,712558.9,470716.27,218241.49,-252474.78,95,86
FARM00045,Assam,Jorhat,Village_395,Wheat,HD2967,2022-03-07,2022-07-24,Zaid,17.36,Alluvial,6.8,65,92,67,DAP,Rain-fed,54.5,17.2,62,Yes,Leaf Blight,Imidacloprid,71.92,57.54,1213438.3,507547.9,233036.63,-274511.27,39,86
FARM00046,Rajasthan,Kota,Village_253,Rice,Basmati,2020-04-27,2020-07-31,Rabi,8.72,Black,7.9,124,86,90,DAP,Drip,55.0,29.3,67,No,None,Neem Oil,38.06,39.06,656376.9,195731.65,87050.57,-108681.08,75,92
FARM00047,Punjab,Amritsar,Village_235,Sugarcane,Co86032,2020-09-09,2021-02-09,Rabi,19.94,Red,7.0,139,143,86,Urea,Canal,110.7,28.1,84,No,None,Neem Oil,74.1,81.39,528111.6,681797.19,272900.75,-408896.44,56,85
FARM00048,Assam,Jorhat,Village_487,Wheat,PBW725,2022-03-20,2022-08-17,Rabi,6.29,Red,7.2,165,90,105,Organic Compost,Rain-fed,45.9,32.4,55,No,None,Neem Oil,23.42,24.85,471704.6,156263.67,81556.19,-74707.48,64,88
FARM00049,Karnataka,Mysuru,Village_232,Rice,IR64,2023-01-19,2023-04-19,Rabi,22.12,Clay,5.8,147,168,45,Organic Compost,Canal,27.2,31.4,61,No,None,Neem Oil,88.18,88.5,1086859.9,496070.37,365786.1,-130284.27,69,87
FARM00050,Tamil Nadu,Coimbatore,Village_6,Soybean,JS335,2020-05-27,2020-08-29,Zaid,11.11,Red,8.1,137,85,64,NPK,Flood,59.8,26.6,71,No,None,Neem Oil,44.36,46.07,262314.0,197591.49,172532.7,-25058.79,79,76
FARM00051,Rajasthan,Jaipur,Village_437,Cotton,Bt,2022-03-20,2022-09-06,Rabi,7.09,Alluvial,6.9,87,99,126,NPK,Rain-fed,83.5,26.2,66,No,None,Neem Oil,29.62,32.35,374355.3,188111.24,92783.97,-95327.27,90,62
FARM00052,Rajasthan,Jaipur,Village_286,Millet,Bajra,2023-04-03,2023-08-29,Kharif,12.31,Loamy,6.2,100,126,138,Organic Compost,Rain-fed,89.5,29.6,72,No,None,Neem Oil,50.13,49.79,249011.9,240831.37,108711.22,-132120.15,98,74
FARM00053,Uttar Pradesh,Lucknow,Village_298,Potato,Kufri Pukhraj,2022-04-22,2022-10-13,Rabi,21.71,Clay,5.8,140,154,115,DAP,Drip,38.9,30.7,67,No,None,Neem Oil,71.02,69.88,1292713.1,291252.44,272836.1,-18416.34,62,49
FARM00054,Karnataka,Belagavi,Village_394,Rice,Basmati,2021-03-05,2021-07-21,Zaid,11.84,Loamy,8.0,131,109,43,Vermicompost,Sprinkler,47.5,32.8,55,Yes,Leaf Blight,Chlorpyrifos,50.53,40.42,596828.6,162887.05,138785.21,-24101.84,60,85
FARM00055,Karnataka,Belagavi,Village_492,Sugarcane,Co0238,2021-04-29,2021-08-03,Kharif,15.81,Alluvial,7.3,152,149,80,Organic Compost,Flood,82.6,28.9,78,No,None,Neem Oil,67.44,67.84,307578.4,457192.45,235543.1,-221649.35,88,52
FARM00056,Maharashtra,Nashik,Village_130,Wheat,HD2967,2023-11-06,2024-05-02,Rabi,1.99,Black,5.6,115,87,75,DAP,Rain-fed,69.4,30.2,69,Yes,Leaf Blight,Chlorpyrifos,7.66,6.13,66058.0,27795.89,22525.9,-5269.99,42,79
FARM00057,Assam,Jorhat,Village_360,Wheat,PBW725,2021-08-03,2022-01-19,Zaid,10.43,Laterite,6.5,64,51,73,Urea,Sprinkler,23.0,24.2,61,Yes,Leaf Blight,Chlorpyrifos,37.09,29.67,804359.5,283342.79,102711.93,-180630.86,35,57
FARM00058,Assam,Guwahati,Village_42,Millet,Ragi,2020-09-30,2021-01-22,Rabi,1.28,Clay,7.0,51,175,43,DAP,Sprinkler,118.5,22.3,72,No,None,Neem Oil,5.7,6.07,56492.4,25564.2,11205.02,-14359.18,96,77
FARM00059,Assam,Jorhat,Village_115,Maize,DHM117,2024-04-18,2024-09-30,Kharif,14.13,Clay,7.5,48,68,162,Urea,Rain-fed,70.7,32.0,60,No,None,Neem Oil,51.3,52.57,767099.2,318161.31,172640.93,-145520.38,74,75
FARM00060,Uttar Pradesh,Lucknow,Village_165,Soybean,NRC37,2023-10-31,2024-02-28,Kharif,3.73,Laterite,8.1,45,151,75,Organic Compost,Canal,93.5,32.2,79,No,None,Neem Oil,12.61,12.36,186526.4,103994.19,51729.46,-52264.73,91,95
FARM00061,Rajasthan,Jaipur,Village_473,Soybean,JS335,2022-05-11,2022-10-12,Kharif,19.68,Black,5.9,90,138,89,NPK,Drip,62.9,24.2,66,No,None,Neem Oil,83.2,80.91,767959.3,624219.67,233262.68,-390956.99,91,67
FARM00062,Assam,Guwahati,Village_239,Rice,IR64,2021-07-12,2021-10-22,Zaid,22.02,Alluvial,7.9,80,143,124,Vermicompost,Flood,81.5,39.0,77,No,None,Neem Oil,74.92,76.24,344210.3,442103.72,275708.36,-166395.36,60,62
FARM00063,Punjab,Ludhiana,Village_171,Wheat,PBW725,2020-03-26,2020-07-16,Kharif,9.03,Red,6.0,48,70,130,Vermicompost,Drip,73.8,27.6,67,Yes,Leaf Blight,Chlorpyrifos,30.81,24.65,555911.5,150267.66,44835.02,-105432.64,70,48
FARM00064,Assam,Guwahati,Village_167,Soybean,NRC37,2024-04-12,2024-08-21,Kharif,4.38,Alluvial,5.6,59,93,64,DAP,Flood,42.8,27.4,60,Yes,Leaf Blight,Imidacloprid,12.86,10.29,179017.5,147926.07,27435.45,-120490.62,48,45
FARM00065,West Bengal,Kolkata,Village_14,Millet,Bajra,2020-12-06,2021-05-14,Rabi,16.26,Red,7.7,135,75,68,Vermicompost,Flood,66.0,29.2,69,No,None,Neem Oil,53.96,54.39,995828.0,436703.19,189548.91,-247154.28,69,62
FARM00066,Maharashtra,Nashik,Village_461,Rice,Basmati,2023-08-24,2024-01-27,Zaid,23.57,Red,8.1,71,56,115,Urea,Rain-fed,41.1,27.3,62,No,None,Neem Oil,89.01,88.16,635300.8,741264.33,229950.93,-511313.4,75,83
FARM00067,West Bengal,Kolkata,Village_162,Millet,Bajra,2021-10-03,2022-01-19,Zaid,16.71,Laterite,8.0,125,165,148,NPK,Drip,82.4,24.5,75,No,None,Neem Oil,69.3,68.14,1108883.2,371992.14,284306.26,-87685.88,72,51
FARM00068,Maharashtra,Pune,Village_215,Wheat,HD2967,2020-07-16,2020-10-15,Rabi,20.59,Alluvial,8.0,149,177,129,NPK,Canal,63.5,29.4,72,No,None,Neem Oil,88.78,84.61,1357088.9,482379.95,271120.1,-211259.85,69,79
FARM00069,Karnataka,Mysuru,Village_219,Cotton,Bt,2023-11-24,2024-04-02,Rabi,16.26,Laterite,6.3,97,95,163,Organic Compost,Canal,25.1,24.4,57,Yes,Leaf Blight,Chlorpyrifos,63.17,50.54,266954.2,244219.43,103456.03,-140763.4,42,54
FARM00070,Rajasthan,Kota,Village_275,Millet,Bajra,2022-09-26,2023-01-18,Zaid,23.09,Loamy,7.2,48,91,64,Organic Compost,Drip,37.2,24.9,66,Yes,Leaf Blight,Imidacloprid,86.51,69.21,1831741.3,653426.96,161326.13,-492100.83,32,86
FARM00071,Punjab,Ludhiana,Village_7,Rice,IR64,2020-03-06,2020-08-05,Kharif,19.64,Clay,6.6,60,150,164,Organic Compost,Flood,55.9,26.9,64,No,None,Neem Oil,81.09,85.62,750704.6,328003.31,156911.64,-171091.67,86,53
FARM00072,Maharashtra,Pune,Village_26,Millet,Bajra,2022-06-16,2022-11-11,Rabi,3.8,Black,5.5,137,71,88,NPK,Rain-fed,38.5,30.2,55,Yes,Leaf Blight,Chlorpyrifos,15.59,12.47,201486.5,51428.39,26828.23,-24600.16,20,92
FARM00073,Assam,Guwahati,Village_405,Millet,Bajra,2023-06-28,2023-11-11,Zaid,13.69,Alluvial,6.6,70,103,56,Organic Compost,Rain-fed,37.1,27.2,55,No,None,Neem Oil,45.41,45.01,417804.7,220801.1,160399.08,-60402.02,70,89
FARM00074,Maharashtra,Pune,Village_40,Rice,Basmati,2022-03-04,2022-06-03,Rabi,22.14,Black,7.1,114,143,43,Organic Compost,Rain-fed,37.1,22.1,63,Yes,Leaf Blight,Imidacloprid,79.73,63.78,875988.9,544671.53,236880.67,-307790.86,21,52
FARM00075,Assam,Guwahati,Village_443,Cotton,Bt,2022-11-19,2023-05-04,Rabi,17.25,Clay,7.0,61,95,131,Urea,Drip,120.1,19.6,82,No,None,Neem Oil,64.33,61.77,382057.2,495205.48,171958.58,-323246.9,71,91
FARM00076,Maharashtra,Pune,Village_46,Wheat,HD2967,2022-11-29,2023-04-20,Rabi,7.48,Alluvial,7.7,175,42,51,Urea,Canal,16.5,31.6,61,No,None,Neem Oil,24.08,23.84,346361.2,165546.37,69018.03,-96528.34,74,75
FARM00077,Maharashtra,Nashik,Village_197,Soybean,NRC37,2020-08-15,2020-11-15,Zaid,14.75,Loamy,5.8,69,48,123,NPK,Flood,20.7,22.9,62,No,None,Neem Oil,45.73,48.8,772029.6,239065.97,148914.44,-90151.53,90,78
FARM00078,Maharashtra,Pune,Village_58,Cotton,Suraj,2021-09-15,2022-01-10,Zaid,5.75,Loamy,7.6,96,56,119,DAP,Rain-fed,57.3,22.2,67,No,None,Neem Oil,18.11,18.4,361417.1,102894.67,64974.99,-37919.68,98,45
FARM00079,Assam,Jorhat,Village_391,Millet,Bajra,2020-08-22,2021-01-15,Rabi,24.51,Black,5.8,141,131,85,Urea,Drip,62.5,26.8,71,No,None,Neem Oil,90.83,98.33,1330213.2,633649.19,187028.08,-446621.11,89,51
FARM00080,Tamil Nadu,Madurai,Village_463,Potato,Kufri Pukhraj,2022-11-13,2023-04-09,Zaid,7.48,Clay,5.9,99,56,173,Urea,Sprinkler,105.8,21.6,79,No,None,Neem Oil,26.47,27.8,170768.6,158592.01,56763.21,-101828.8,78,76
FARM00081,Assam,Jorhat,Village_213,Soybean,JS335,2023-05-15,2023-09-17,Kharif,11.58,Black,7.2,109,140,91,NPK,Rain-fed,119.8,30.2,81,Yes,Leaf Blight,Chlorpyrifos,51.14,40.91,889681.6,258658.13,164271.44,-94386.69,55,52
FARM00082,Tamil Nadu,Madurai,Village_30,Potato,Kufri Jyoti,2020-09-23,2021-01-06,Zaid,20.01,Black,7.0,144,110,66,Organic Compost,Canal,89.7,25.0,71,Yes,Leaf Blight,Imidacloprid,88.33,70.66,822370.4,409525.59,243490.56,-166035.03,25,81
FARM00083,Rajasthan,Kota,Village_194,Cotton,Bt,2020-04-20,2020-08-01,Kharif,13.81,Loamy,6.3,61,161,161,Organic Compost,Sprinkler,88.9,22.2,77,No,None,Neem Oil,54.71,57.29,586383.0,273471.23,121044.66,-152426.57,73,63
FARM00084,West Bengal,Siliguri,Village_252,Soybean,NRC37,2023-01-01,2023-05-23,Rabi,10.02,Red,5.9,41,145,138,DAP,Rain-fed,78.1,24.4,76,No,None,Neem Oil,36.91,39.08,793760.4,269133.06,77434.43,-191698.63,94,53
FARM00085,Assam,Jorhat,Village_87,Rice,IR64,2020-10-25,2021-04-23,Kharif,9.07,Red,5.5,60,143,175,Vermicompost,Sprinkler,42.4,30.7,68,Yes,Leaf Blight,Imidacloprid,28.74,22.99,139039.5,299721.39,75765.7,-223955.69,57,79
FARM00086,Assam,Guwahati,Village_490,Wheat,PBW725,2021-11-01,2022-04-27,Zaid,11.17,Clay,7.8,147,79,71,DAP,Rain-fed,58.3,28.2,63,Yes,Leaf Blight,Chlorpyrifos,43.86,35.09,506299.0,325356.76,95113.32,-230243.44,41,52
FARM00087,Uttar Pradesh,Lucknow,Village_379,Potato,Kufri Jyoti,2021-06-30,2021-12-16,Kharif,18.97,Black,7.4,93,103,176,Vermicompost,Drip,35.6,23.8,64,Yes,Leaf Blight,Chlorpyrifos,76.17,60.94,1178164.1,530985.35,219603.08,-311382.27,24,57
FARM00088,Punjab,Ludhiana,Village_256,Maize,HQPM1,2022-03-19,2022-06-20,Kharif,16.95,Red,8.0,99,79,177,Vermicompost,Rain-fed,120.6,27.3,82,Yes,Leaf Blight,Imidacloprid,88.1,70.48,726714.9,278954.0,254144.7,-24809.3,62,45
FARM00089,Punjab,Amritsar,Village_163,Potato,Kufri Pukhraj,2022-05-11,2022-10-12,Zaid,17.08,Red,7.9,145,55,146,Vermicompost,Canal,73.9,38.3,64,Yes,Leaf Blight,Imidacloprid,55.61,44.49,1185029.2,275607.64,81062.41,-194545.23,61,77
FARM00090,Maharashtra,Nashik,Village_279,Millet,Bajra,2022-12-04,2023-04-29,Kharif,2.18,Laterite,7.9,108,172,128,DAP,Canal,69.3,25.1,73,No,None,Neem Oil,8.36,8.49,81036.0,46678.17,31703.71,-14974.46,76,92
FARM00091,Karnataka,Mysuru,Village_340,Potato,Kufri Pukhraj,2021-03-06,2021-07-12,Zaid,5.27,Red,7.6,64,99,66,Vermicompost,Sprinkler,159.3,30.6,85,Yes,Leaf Blight,Imidacloprid,26.39,21.11,384753.3,145174.71,40510.85,-104663.86,29,73
FARM00092,Punjab,Ludhiana,Village_57,Sugarcane,Co86032,2023-10-10,2024-04-06,Zaid,24.8,Black,7.9,67,48,90,NPK,Flood,54.0,28.6,60,No,None,Neem Oil,94.6,102.94,623202.0,683073.27,367612.45,-315460.82,61,93
FARM00093,Tamil Nadu,Madurai,Village_409,Soybean,NRC37,2021-11-07,2022-04-07,Kharif,10.84,Alluvial,8.0,84,132,59,Urea,Sprinkler,97.2,31.5,67,No,None,Neem Oil,47.52,49.98,652450.1,140852.45,188030.29,47177.84,71,56
FARM00094,West Bengal,Kolkata,Village_162,Wheat,HD2967,2023-06-21,2023-12-03,Rabi,8.7,Red,6.3,152,176,61,NPK,Sprinkler,70.5,25.0,67,Yes,Leaf Blight,Chlorpyrifos,37.69,30.15,273567.5,135337.14,79409.7,-55927.44,58,57
FARM00095,Uttar Pradesh,Lucknow,Village_4,Rice,IR64,2022-02-05,2022-06-20,Zaid,16.36,Black,7.9,151,169,115,Urea,Drip,103.8,21.5,72,No,None,Neem Oil,81.68,81.53,1263293.8,211392.05,243351.84,31959.79,73,95
FARM00096,Karnataka,Belagavi,Village_93,Rice,IR64,2023-08-16,2023-12-31,Rabi,21.57,Red,6.7,155,177,43,Vermicompost,Rain-fed,46.3,19.6,54,Yes,Leaf Blight,Imidacloprid,65.47,52.38,1494135.6,348805.5,195143.67,-153661.83,40,62
FARM00097,Rajasthan,Jaipur,Village_331,Rice,Basmati,2023-03-07,2023-06-29,Zaid,16.75,Red,8.1,146,49,173,Organic Compost,Drip,95.6,18.5,80,No,None,Neem Oil,59.98,57.34,540820.8,304604.6,203836.45,-100768.15,61,59
FARM00098,West Bengal,Siliguri,Village_178,Rice,Basmati,2022-04-24,2022-10-12,Zaid,11.44,Black,5.9,157,50,120,Urea,Canal,77.1,28.8,69,No,None,Neem Oil,41.9,43.5,344576.9,236821.77,79803.56,-157018.21,76,68
